OrderId,OrderDate,ShipMode,Segment,Country,City,State,PostalCode,Region,Category,SubCategory,ProductId,CostPrice,ListPrice,Quantity,DiscountPercent,Revenue,DiscountAmount,SellingPrice,CostTotal,Profit
1,2023-03-01,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,240.0,260.0,2,2.0,520.0,10.4,509.6,480.0,29.6
2,2023-08-15,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,600.0,730.0,3,3.0,2190.0,65.7,2124.3,1800.0,324.3
3,2023-01-10,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,10.0,10.0,2,5.0,20.0,1.0,19.0,20.0,-1.0
4,2022-06-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,780.0,960.0,5,2.0,4800.0,96.0,4704.0,3900.0,804.0
5,2022-07-13,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,20.0,20.0,2,5.0,40.0,2.0,38.0,40.0,-2.0
6,2022-03-13,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,FUR-FU-10001487,50.0,50.0,7,3.0,350.0,10.5,339.5,350.0,-10.5
7,2022-12-28,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,10.0,10.0,4,3.0,40.0,1.2,38.8,40.0,-1.2
8,2022-01-25,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,860.0,910.0,6,5.0,5460.0,273.0,5187.0,5160.0,27.0
9,2023-03-23,Not Available,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,OFF-BI-10003910,20.0,20.0,3,2.0,60.0,1.2,58.8,60.0,-1.2
10,2023-05-16,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,90.0,110.0,5,3.0,550.0,16.5,533.5,450.0,83.5
11,2023-03-31,Not Available,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,FUR-TA-10001539,1470.0,1710.0,9,3.0,15390.0,461.7,14928.3,13230.0,1698.3
12,2023-12-25,Not Available,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002033,750.0,910.0,4,3.0,3640.0,109.2,3530.8,3000.0,530.8
13,2022-02-11,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,20.0,20.0,3,3.0,60.0,1.8,58.2,60.0,-1.8
14,2023-07-18,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,360.0,410.0,3,2.0,1230.0,24.6,1205.4,1080.0,125.4
15,2023-11-09,unknown,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,60.0,70.0,5,5.0,350.0,17.5,332.5,300.0,32.5
16,2022-06-18,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0.0,0.0,3,5.0,0.0,0.0,0.0,0.0,0.0
17,2022-02-04,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610.0,670.0,6,3.0,4020.0,120.6,3899.4,3660.0,239.4
18,2023-08-04,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60.0,60.0,2,4.0,120.0,4.8,115.2,120.0,-4.8
19,2022-01-23,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10.0,10.0,2,4.0,20.0,0.8,19.2,20.0,-0.800000000000001
20,2022-01-11,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170.0,210.0,3,3.0,630.0,18.9,611.1,510.0,101.1
21,2022-10-05,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20.0,20.0,4,2.0,80.0,1.6,78.4,80.0,-1.59999999999999
22,2023-07-16,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20.0,20.0,7,4.0,140.0,5.6,134.4,140.0,-5.59999999999999
23,2023-05-06,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50.0,60.0,7,3.0,420.0,12.6,407.4,350.0,57.4
24,2023-05-21,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60.0,70.0,2,4.0,140.0,5.6,134.4,120.0,14.4
25,2023-02-24,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900.0,1040.0,3,5.0,3120.0,156.0,2964.0,2700.0,264.0
26,2022-06-20,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10.0,10.0,2,5.0,20.0,1.0,19.0,20.0,-1.0
27,2022-02-08,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80.0,90.0,3,3.0,270.0,8.1,261.9,240.0,21.9
